전국 기준일,전국 확진,전국 사망
2022.07.24.00,19211613,24873
2022.07.23.00,19146180,24855
2022.07.22.00,19077659,24825
2022.07.21.00,19009080,24794
2022.07.20.00,18937971,24777
2022.07.19.00,18861593,24765
2022.07.18.00,18788056,24753
2022.07.17.00,18761757,24742
2022.07.16.00,18721415,24728
2022.07.15.00,18680142,24712
2022.07.14.00,18641278,24696
2022.07.13.00,18602109,24680
2022.07.12.00,18561861,24668
2022.07.11.00,18524538,24661
2022.07.10.00,18511845,24643
2022.07.09.00,18491435,24624
2022.07.08.00,18471172,24605
2022.07.07.00,18451862,24593
2022.07.06.00,18433359,24583
2022.07.05.00,18413997,24576
2022.07.04.00,18395864,24574
2022.07.03.00,18389611,24570
2022.07.02.00,18379552,24562
2022.07.01.00,18368857,24555
2022.06.30.00,18359341,24547
2022.06.29.00,18349756,24537
2022.06.28.00,18339319,24530
2022.06.27.00,18329448,24525
2022.06.26.00,18326019,24522
2022.06.25.00,18319773,24516
2022.06.24.00,18312993,24498
2022.06.23.00,18305783,24488
2022.06.22.00,18298341,24474
2022.06.21.00,18289373,24463
2022.06.20.00,18280090,24451
2022.06.19.00,18276552,24441
2022.06.18.00,18270481,24427
2022.06.17.00,18263643,24416
2022.06.16.00,18256457,24407
2022.06.15.00,18248479,24399
2022.06.14.00,18239056,24390
2022.06.13.00,18229288,24388
2022.06.12.00,18225460,24371
2022.06.11.00,18218078,24351
2022.06.10.00,18209650,24341
2022.06.09.00,18200346,24323
2022.06.08.00,18188200,24305
2022.06.07.00,18174880,24299
2022.06.06.00,18168708,24279
2022.06.05.00,18163686,24258
2022.06.04.00,18153851,24238
2022.06.03.00,18141835,24229
2022.06.02.00,18129313,24212
2022.06.01.00,18119415,24197
2022.05.31.00,18103638,24176
2022.05.30.00,18086462,24167
2022.05.29.00,18080323,24518
2022.05.28.00,18067669,24139
2022.05.27.00,18053287,24103
2022.05.26.00,18036720,24063
2022.05.25.00,18017923,24029
2022.05.24.00,17993985,24006
2022.05.23.00,17967672,23987
2022.05.22.00,17957697,23965
2022.05.21.00,17938399,23911
2022.05.20.00,17914957,23885
2022.05.19.00,17889849,23842
2022.05.18.00,17861744,23802
2022.05.17.00,17830429,23771
2022.05.16.00,17795357,23744
2022.05.15.00,17782061,23709
2022.05.14.00,17756627,23661
2022.05.13.00,17727086,23606
2022.05.12.00,17694677,23554
2022.05.11.00,17658794,23491
2022.05.10.00,17614895,23462
2022.05.09.00,17564999,23400
2022.05.08.00,17544398,23360
2022.05.07.00,17504334,23289
2022.05.06.00,17464782,23206
2022.05.05.00,17438068,23158
2022.05.04.00,17395791,23079
2022.05.03.00,17346753,23007
2022.05.02.00,17295733,22958
2022.05.01.00,17275649,22875
2022.04.30.00,17237878,22794
2022.04.29.00,17194616,22724
2022.04.28.00,17144065,22588
2022.04.27.00,17086626,22466
2022.04.26.00,17009856,22325
2022.04.25.00,16929564,22243
2022.04.24.00,16895194,22133
2022.04.23.00,16830469,22024
2022.04.22.00,16755055,21873
2022.04.21.00,16674045,21667
